Detail ID,Detail Status,Product Family,Usage Batch Name,Fiscal Year,RRO Account #,RRO Name,Payment Date,Title,Article,Standard Number,Wr Wrk Inst,RH Account #,RH Name,Publisher,Pub Date,Number of Copies,Reported value,Amt in USD,Gross Amt in USD,Market,Market Period From,Market Period To,Author,Line,Error Reason
,,,,,,,,,,,,,,,,,,,,,,,,2,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,3,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,4,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,5,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,6,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,7,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,8,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,9,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,10,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,11,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,12,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,13,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,14,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,15,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,16,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,17,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,18,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,19,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,20,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,21,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,22,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,23,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,24,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,25,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,26,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,27,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,28,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,29,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,30,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,31,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,32,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,33,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,34,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,35,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,36,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,37,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,38,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,39,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,40,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,41,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,42,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,43,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,44,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,45,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,46,Detail ID: Field is required and cannot be null or empty; Wr Wrk Inst: Field is required and cannot be null or empty
